sample_id,source_id,direct_accuracy,concept_accuracy,pattern_mean_set_size,concept_mean_set_size,n_valid_pattern_pixels,n_valid_explanation_pixels,n_pattern_classes,selection_score
TissueArray__PR1921b_D13,PR1921b_D13,0.12701000370507595,0.15909596146721008,3.4577497838705695,8.338495739162653,40485,40485,3,0.29806990243299997
TissueArray__PR1921c_J4,PR1921c_J4,0.7707966123554447,0.9786046221501419,3.101629336657925,6.730655272432399,46522,32063,3,0.30024868037311375
TissueArray__PR1921b_J16,PR1921b_J16,0.16552844702835817,0.5780609128196178,3.4860494046561223,7.813072693952352,39389,11459,2,0.3076520752788397
TissueArray__PR1921b_A10,PR1921b_A10,0.13795425927552785,0.011039854754165569,3.048434800433395,7.82459222817652,34149,34149,2,0.31749128817827754
TissueArray__PR1921c_A4,PR1921c_A4,0.7273250555053038,0.7110434997121947,2.4831839486884304,6.49765644272675,12161,12161,2,0.32804456870323156
TissueArray__PR1921b_C1,PR1921b_C1,0.07419026390379482,0.08448223671537466,3.0191804947852168,7.853077960318116,36339,36339,3,0.3295153966812515
TissueArray__PR1921c_B1,PR1921c_B1,0.7977299880525687,0.8700648444553887,2.673715651135006,6.844906837396372,25110,24366,3,0.333883225259241
TissueArray__PR1001_B7,PR1001_B7,0.7821016949152543,0.01894578313253012,2.9724474576271187,7.424668674698795,36875,33200,2,0.3447104231161936
TissueArray__PR1921c_J14,PR1921c_J14,0.7937047905646624,0.9573652828919086,2.8561709126932207,7.067475374292069,53501,53501,2,0.36810844657109215
TissueArray__PR1001_C8,PR1001_C8,0.08878003979794888,0.10747528776318205,3.1475330373998673,7.8727024830226275,39198,38139,2,0.36966723203759333
TissueArray__PR1921b_I4,PR1921b_I4,0.07949554362622968,0.08334831633832482,2.9108725245935325,7.915727018210772,38933,38933,2,0.37575501502581354
TissueArray__PR1001_I5,PR1001_I5,0.07227604512276045,0.08064773028935493,2.6444857332448573,7.328802760817627,37675,37670,2,0.4053684703310927
TissueArray__PR1921b_I16,PR1921b_I16,0.06986816880073844,0.07822300063903813,3.5833471397126697,8.198693522046815,42251,42251,2,0.40743958722870466
TissueArray__PR1001_J2,PR1001_J2,0.04856960482794638,0.05599651112080244,2.9697382928103058,7.740020351795319,34466,34395,2,0.407840456423735
TissueArray__PR1921c_D8,PR1921c_D8,0.8225447088747363,0.8335863714336416,2.7150856714711042,6.670919021235483,50717,50717,2,0.41052290159118243
TissueArray__PR1001_B9,PR1001_B9,0.030521418095382592,0.03745005816011733,2.8816062307186567,7.541040813230162,39546,39546,2,0.4333935164112679
TissueArray__PR1921c_H1,PR1921c_H1,0.08092975471940414,0.9996830427892235,3.131321433157827,3.4741679873217115,38935,3155,2,0.4648397428604747
