class_id,explanation,soft_label_probability_mass,predicted_probability_mass,majority_vote_frequency,prediction_argmax_frequency
0,benign tissue,0.43636123175976244,0.3340194626593961,0.44303499989340334,0.7605343516370519
1,3 - individual glands,0.0759320104958699,0.05781448725447097,0.08219444319117637,0.0
2,3 - compressed glands,0.005233316271162984,0.014529533486148938,0.0007689832514357081,0.0
3,4 - poorly formed glands,0.1974773108475286,0.22022877739660676,0.18923433363957146,0.22219649579637363
4,4 - cribriform glands,0.09341964857457596,0.07791369155510208,0.08923428405973577,0.00015865547418402747
5,4 - glomeruloid glands,0.00023137256147485167,0.016250604803846245,0.0,0.0
6,5 - group of tumor cells,0.042671217593923394,0.0874723057656508,0.031072674618941778,0.00034358826127978446
7,5 - single cells,0.0024300729659508915,0.021135633321208,0.00017848740845703088,0.0
8,5 - cords,0.1424405542280133,0.14612533390772572,0.16423816368187794,0.016766908831110754
9,5 - comedonecrosis,0.0038032691535961794,0.024510171970487663,4.363025540060755e-05,0.0
