block,method,seed,metric,value,evaluation_scope,display_method
"Trained on explanations
Evaluated on Gleason patterns",Direct,410,Macro Dice,0.3475685782727577,full-scale test pattern labels,Direct
"Trained on explanations
Evaluated on Gleason patterns",Remapped,410,Macro SoftDice,0.284898492155946,full-scale test pattern labels,Remapped
"Trained on explanations
Evaluated on Gleason patterns",Remapped,410,L1-norm,1.3638613282609044,full-scale test pattern labels,Remapped
"Trained on explanations
Evaluated on Gleason patterns",Remapped,410,Dice,0.3698124768170403,full-scale test pattern labels,Remapped
"Trained on explanations
Evaluated on Gleason patterns",Remapped,410,Macro Dice,0.305050241977344,full-scale test pattern labels,Remapped
"Trained on explanations
Evaluated on explanations",HistoSet,410,Macro SoftDice,0.1139183256859646,TissueArray explanation-supervised test labels,HistoSet
"Trained on explanations
Evaluated on explanations",HistoSet,410,L1-norm,1.2510834902019825,TissueArray explanation-supervised test labels,HistoSet
"Trained on explanations
Evaluated on explanations",HistoSet,410,Dice,0.4512865719460432,TissueArray explanation-supervised test labels,HistoSet
"Trained on explanations
Evaluated on explanations",HistoSet,410,Macro Dice,0.118447733067136,TissueArray explanation-supervised test labels,HistoSet
"Trained on explanations
Evaluated on explanations",Teacher,404,Macro SoftDice,0.0768991983239603,TissueArray explanation-supervised test labels,Teacher
"Trained on explanations
Evaluated on explanations",Teacher,404,L1-norm,1.6064021890446292,TissueArray explanation-supervised test labels,Teacher
"Trained on explanations
Evaluated on explanations",Teacher,404,Dice,0.3298120081370426,TissueArray explanation-supervised test labels,Teacher
"Trained on explanations
Evaluated on explanations",Teacher,404,Macro Dice,0.0695599094249578,TissueArray explanation-supervised test labels,Teacher
"Trained on explanations
Evaluated on explanations",Teacher,405,Macro SoftDice,0.0812913447257743,TissueArray explanation-supervised test labels,Teacher
"Trained on explanations
Evaluated on explanations",Teacher,405,L1-norm,1.583400304034605,TissueArray explanation-supervised test labels,Teacher
"Trained on explanations
Evaluated on explanations",Teacher,405,Dice,0.3919737187207014,TissueArray explanation-supervised test labels,Teacher
"Trained on explanations
Evaluated on explanations",Teacher,405,Macro Dice,0.0985407441289107,TissueArray explanation-supervised test labels,Teacher
"Trained on explanations
Evaluated on explanations",Teacher,406,Macro SoftDice,0.080080583576508,TissueArray explanation-supervised test labels,Teacher
"Trained on explanations
Evaluated on explanations",Teacher,406,L1-norm,1.574693748506449,TissueArray explanation-supervised test labels,Teacher
"Trained on explanations
Evaluated on explanations",Teacher,406,Dice,0.3661118848319913,TissueArray explanation-supervised test labels,Teacher
"Trained on explanations
Evaluated on explanations",Teacher,406,Macro Dice,0.0563548788896315,TissueArray explanation-supervised test labels,Teacher
"Trained on explanations
Evaluated on explanations",Teacher,407,Macro SoftDice,0.0668220063658319,TissueArray explanation-supervised test labels,Teacher
"Trained on explanations
Evaluated on explanations",Teacher,407,L1-norm,1.6952846898870952,TissueArray explanation-supervised test labels,Teacher
"Trained on explanations
Evaluated on explanations",Teacher,407,Dice,0.1012028563934933,TissueArray explanation-supervised test labels,Teacher
"Trained on explanations
Evaluated on explanations",Teacher,407,Macro Dice,0.0497490337462409,TissueArray explanation-supervised test labels,Teacher
