sample_id,source_id,direct_accuracy,concept_accuracy,pattern_mean_set_size,concept_mean_set_size,n_valid_pattern_pixels,n_valid_explanation_pixels,n_pattern_classes,selection_score,selected_for_main_fig7
TissueArray_concept_subset__PR633a_E6,PR633a_E6,0.44759297550747,0.4895078644093247,3.2483909485394764,7.9775517098990205,34337,26639,3,-0.0372083717638714,True
TissueArray_concept_subset__PR1921b_B11,PR1921b_B11,0.4454704664862283,0.4106185293336873,3.248527304569336,7.986726838332891,37686,37670,3,-0.0352639110701126,False
TissueArray_concept_subset__PR482a_E2,PR482a_E2,0.5122157386704477,0.5791444144689754,3.222255548890222,8.008286076088751,36674,36326,4,-0.0287283178521684,False
TissueArray_concept_subset__PR1921b_D2,PR1921b_D2,0.4023957409050577,0.3856460272892961,3.0705646102834727,7.758139993103788,42826,40602,3,0.0052640436442054,False
TissueArray_concept_subset__PR1001_C1,PR1001_C1,0.5061488673139158,0.2191841397354166,3.122268454307289,7.886980874820356,32445,27137,3,0.0132999879898002,False
TissueArray_concept_subset__PR1921c_E12,PR1921c_E12,0.452776202505542,0.5211695462312512,3.1867556838686397,7.723778784344571,38794,36869,2,0.0157708541733962,False
TissueArray_concept_subset__PR1921c_B7,PR1921c_B7,0.3977679741416965,0.4632764073371284,3.4144098890539007,7.61831752055661,45788,39525,3,0.0264420710093273,False
TissueArray_concept_subset__PR1001_G10,PR1001_G10,0.5111504131317877,0.6275128434219344,2.7113051648382016,7.387061648425285,36187,35816,3,0.0349569735697538,False
TissueArray_concept_subset__PR1921c_B5,PR1921c_B5,0.4811522194390835,0.2910386463509795,3.274134603539605,7.665817898065629,48706,48698,2,0.0488012456193551,False
TissueArray_concept_subset__PR1921c_J7,PR1921c_J7,0.5369204653959048,0.9730294944833056,3.01022032040174,6.859186077257759,56554,41601,3,0.0601455566668191,False
TissueArray_concept_subset__PR1921c_D11,PR1921c_D11,0.5066125553411284,0.2391020547167669,3.498240435917811,8.004767851061414,35236,35236,2,0.0766375297990691,False
TissueArray_concept_subset__PR482a_E1,PR482a_E1,0.5635479401702151,0.4444255944807306,3.373455481098199,8.1340797918964,35367,35367,3,0.0811677552520711,False
TissueArray_concept_subset__PR1921b_H12,PR1921b_H12,0.5769333511419794,0.342681001428464,3.0271136636837186,7.745770994662055,29948,26602,3,0.083102477796087,False
TissueArray_concept_subset__PR633a_D3,PR633a_D3,0.3308862406963029,0.4828301218833763,3.4613820311546752,8.147271531886917,49174,39546,3,0.0905144711876224,False
TissueArray_concept_subset__PR633a_E3,PR633a_E3,0.528743625405656,0.6285890164006508,3.361529059720993,8.024754869630216,47454,22743,2,0.0936998851871,False
TissueArray_concept_subset__PR1921c_G3,PR1921c_G3,0.5334149682454028,0.2462122784442323,3.0583620439168158,7.218919928604043,48182,48182,2,0.1013710514299945,False
TissueArray_concept_subset__PR1001_D3,PR1001_D3,0.3961871538296765,0.7547863294750123,2.5194773401878883,6.271161336332218,32679,18229,2,0.1076105258361635,False
TissueArray_concept_subset__PR1921b_D6,PR1921b_D6,0.5532758711860821,0.5400031727565967,3.2519697530537783,7.862540320448416,37822,37822,2,0.1161038548992649,False
TissueArray_concept_subset__PR1001_E3,PR1001_E3,0.3772566479629178,0.922808547754034,2.5033239814588923,4.27874691088821,32792,13758,3,0.1170354545609623,False
TissueArray_concept_subset__PR1921b_G9,PR1921b_G9,0.3405658573886446,0.4727272727272727,2.925030268272478,7.596631785480707,31386,30580,2,0.1205002961708421,False
TissueArray_concept_subset__PR1001_C6,PR1001_C6,0.5682606288428476,0.0704527829147527,3.197511437479966,7.962089124858319,34317,33526,2,0.1269193038448798,False
TissueArray_concept_subset__PR1921b_B12,PR1921b_B12,0.6270504649461917,0.6926392226517605,3.122061435586668,7.929866262668478,38284,38284,3,0.1333355971162887,False
TissueArray_concept_subset__PR1921c_C11,PR1921c_C11,0.6235973417583615,0.8146309530303857,3.336719686240331,7.927799901805685,36716,36662,3,0.138510131171861,False
TissueArray_concept_subset__PR1921c_A13,PR1921c_A13,0.5863457201273107,0.908892881203683,3.2360938389224967,7.529553110262745,47443,44530,2,0.1551984114789556,False
TissueArray_concept_subset__PR1921c_C14,PR1921c_C14,0.3097719408300787,0.2687838413335767,3.1105894732581905,7.3876214232118596,49417,49311,2,0.1568992096360117,False
TissueArray_concept_subset__PR1921c_E4,PR1921c_E4,0.6071485969592748,0.7671884542444795,3.077432419401498,7.717881135289769,31111,31111,2,0.1658882710295393,False
TissueArray_concept_subset__PR482a_A8,PR482a_A8,0.3018399367874478,0.0438819279828423,3.4808669150016933,8.11352861496783,35436,35436,2,0.1696653121119765,False
TissueArray_concept_subset__PR1921c_H14,PR1921c_H14,0.6165202108963093,0.532385365074293,2.59555839590989,6.113244927304681,31295,31295,3,0.17043297651382,False
TissueArray_concept_subset__PR1921c_F3,PR1921c_F3,0.6081936215807386,0.6256220222339862,3.4208748266733897,7.96363155108523,39665,37780,2,0.1757559836259696,False
TissueArray_concept_subset__PR633a_B1,PR633a_B1,0.2767547733913161,0.2686688863219406,2.9987769246449685,7.519942923150099,14717,14717,2,0.1828952911598831,False
