seed,architecture,encoder,prep_dir,sampling_mode,epochs,patch_size,steps_per_epoch,pattern_schedule,protect_pattern_head,freeze_shared_features,teacher_dir,teacher_expl_weight,teacher_pattern_weight,teacher_temperature,device,checkpoint,checkpoint_size_mb,resolution_note,compute_note
408,unet,resnet18,prepared/histoset_fullscale_512,mixed_fullscale,4,160,200,"1,1,2,2,2,3,0,0",True,True,teacher/concept_annotation_seed_ensemble,0.8,0.0,1.5,cpu,experiments/smp_histoset_fullscale/checkpoints/histoset_smp_unet_resnet18_seed408.pt,54.78,prepared at 512 px; evaluated at 256 px for Fig.6/7,CPU execution with checkpoint size and training configuration recorded
409,unet,resnet18,prepared/histoset_fullscale_512,mixed_fullscale,4,160,200,"1,1,2,2,2,3,0,0",True,True,teacher/concept_annotation_seed_ensemble,0.8,0.0,1.5,cpu,experiments/smp_histoset_fullscale/checkpoints/histoset_smp_unet_resnet18_seed409.pt,54.78,prepared at 512 px; evaluated at 256 px for Fig.6/7,CPU execution with checkpoint size and training configuration recorded
410,unet,resnet18,prepared/histoset_fullscale_512,mixed_fullscale,4,160,200,"1,1,2,2,2,3,0,0",True,True,teacher/concept_annotation_seed_ensemble,0.8,0.0,1.5,cpu,experiments/smp_histoset_fullscale/checkpoints/histoset_smp_unet_resnet18_seed410.pt,54.78,prepared at 512 px; evaluated at 256 px for Fig.6/7,CPU execution with checkpoint size and training configuration recorded
